text,difficulty,user_answer,correct_answer
Nucleic acids are composed of monomeric units known as:,0.20,,Nucleotides
Which process describes the oxidative breakdown of fatty acids to generate acetyl-CoA?,0.30,Ketogenesis,Beta-oxidation
Which amino acid has a side chain that can form a disulfide bond?,0.30,Cysteine,Cysteine
Which molecule is the end product of glycolysis that proceeds to the Krebs cycle under aerobic conditions?,0.20,Pyruvate,Pyruvate
Which molecule is the end product of glycolysis that proceeds to the Krebs cycle under aerobic conditions?,0.20,,Pyruvate
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,Glucose to glucose-6-phosphate,"Fructose-6-phosphate to fructose-1,6-bisphosphate"
Which type of interaction is primarily responsible for the secondary structure of a protein?,0.40,Hydrogen bonds between amino acid side chains,Hydrogen bonds between peptide backbone atoms
Lipids are diverse in structure and function. Which of the following is not a typical function of lipids?,0.50,Energy storage,Catalyzing metabolic reactions
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,2 ATP,2 ATP
Nucleic acids are composed of monomeric units known as:,0.20,Nucleotides,Nucleotides
Which enzyme catalyzes the formation of citrate from acetyl-CoA and oxaloacetate in the Krebs cycle?,0.30,Aconitase,Citrate synthase
Which enzyme is responsible for the substrate-level phosphorylation step in glycolysis that generates ATP?,0.60,Hexokinase,Phosphoglycerate kinase
What are the direct products of a single turn of the Krebs cycle starting with acetyl-CoA?,0.40,"2 CO2, 3 NADH, 1 FADH2, 1 GTP","2 CO2, 3 NADH, 1 FADH2, 1 GTP"
"During glycolysis, the conversion of glucose-6-phosphate to fructose-6-phosphate is catalyzed by which enzyme?",0.40,Hexokinase,Phosphoglucose isomerase
Which type of interaction is not typically involved in the binding of a substrate to an enzyme's active site?,0.40,Hydrophobic interactions,Covalent bonds
"In the Michaelis-Menten model, what does the Km value represent?",0.50,The maximum rate of the reaction,The substrate concentration when the reaction rate is half its maximum
Which of the following best describes an enzyme's function?,0.20,Decreases the activation energy of a reaction,Decreases the activation energy of a reaction
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Fructose-6-phosphate to fructose-1,6-bisphosphate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
Which type of interaction is not typically involved in the binding of a substrate to an enzyme's active site?,0.40,Covalent bonds,Covalent bonds
What is the repeating unit of a polysaccharide?,0.30,Glycerol,Monosaccharide
What is the monomer unit of proteins?,0.20,Nucleotide,Amino acid
Which of the following is not a feature of the Krebs cycle?,0.30,Occurs in the mitochondrial matrix,Directly uses oxygen in its reactions
Which enzyme is responsible for the substrate-level phosphorylation step in glycolysis that generates ATP?,0.60,Phosphoglycerate kinase,Phosphoglycerate kinase
Nucleic acids are composed of monomeric units known as:,0.20,Nucleotides,Nucleotides
Lipids are diverse in structure and function. Which of the following is not a typical function of lipids?,0.50,Catalyzing metabolic reactions,Catalyzing metabolic reactions
"In the Michaelis-Menten model, what does the Km value represent?",0.50,,The substrate concentration when the reaction rate is half its maximum
Which process describes the oxidative breakdown of fatty acids to generate acetyl-CoA?,0.30,Beta-oxidation,Beta-oxidation
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,2 ATP,2 ATP
Which enzyme catalyzes the formation of citrate from acetyl-CoA and oxaloacetate in the Krebs cycle?,0.30,Citrate synthase,Citrate synthase
Which molecule is the end product of glycolysis that proceeds to the Krebs cycle under aerobic conditions?,0.20,,Pyruvate
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,4 ATP,2 ATP
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,4 ATP,2 ATP
Nucleic acids are composed of monomeric units known as:,0.20,Amino acids,Nucleotides
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,4 ATP,2 ATP
"In the Krebs cycle, which step is catalyzed by the enzyme succinate dehydrogenase?",0.50,Conversion of α-ketoglutarate to succinyl-CoA,Conversion of succinate to fumarate
Which enzyme is responsible for the substrate-level phosphorylation step in glycolysis that generates ATP?,0.60,Pyruvate kinase,Phosphoglycerate kinase
Which enzyme is responsible for the substrate-level phosphorylation step in glycolysis that generates ATP?,0.60,Pyruvate kinase,Phosphoglycerate kinase
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Glyceraldehyde-3-phosphate to 1,3-bisphosphoglycerate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Glyceraldehyde-3-phosphate to 1,3-bisphosphoglycerate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
What are the direct products of a single turn of the Krebs cycle starting with acetyl-CoA?,0.40,"1 CO2, 4 NADH, 1 FADH2, 1 ATP","2 CO2, 3 NADH, 1 FADH2, 1 GTP"
Lipids are diverse in structure and function. Which of the following is not a typical function of lipids?,0.50,Catalyzing metabolic reactions,Catalyzing metabolic reactions
What are the direct products of a single turn of the Krebs cycle starting with acetyl-CoA?,0.40,"1 CO2, 4 NADH, 1 FADH2, 1 ATP","2 CO2, 3 NADH, 1 FADH2, 1 GTP"
What are the direct products of a single turn of the Krebs cycle starting with acetyl-CoA?,0.40,"1 CO2, 4 NADH, 1 FADH2, 1 ATP","2 CO2, 3 NADH, 1 FADH2, 1 GTP"
What are the direct products of a single turn of the Krebs cycle starting with acetyl-CoA?,0.40,"1 CO2, 4 NADH, 1 FADH2, 1 ATP","2 CO2, 3 NADH, 1 FADH2, 1 GTP"
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Fructose-6-phosphate to fructose-1,6-bisphosphate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
Which process describes the oxidative breakdown of fatty acids to generate acetyl-CoA?,0.30,Beta-oxidation,Beta-oxidation
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Fructose-6-phosphate to fructose-1,6-bisphosphate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,"Fructose-6-phosphate to fructose-1,6-bisphosphate","Fructose-6-phosphate to fructose-1,6-bisphosphate"
"In the Krebs cycle, which step is catalyzed by the enzyme succinate dehydrogenase?",0.50,Conversion of α-ketoglutarate to succinyl-CoA,Conversion of succinate to fumarate
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,Glucose to glucose-6-phosphate,"Fructose-6-phosphate to fructose-1,6-bisphosphate"
Which process describes the oxidative breakdown of fatty acids to generate acetyl-CoA?,0.30,Beta-oxidation,Beta-oxidation
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,Glucose to glucose-6-phosphate,"Fructose-6-phosphate to fructose-1,6-bisphosphate"
"In glycolysis, which step is the first commitment step and is considered one of the major regulatory points?",0.50,Glucose to glucose-6-phosphate,"Fructose-6-phosphate to fructose-1,6-bisphosphate"
What is the monomer unit of proteins?,0.20,Amino acid,Amino acid
What is the net gain of ATP molecules during glycolysis from one molecule of glucose?,0.30,2 ATP,2 ATP
Which process describes the oxidative breakdown of fatty acids to generate acetyl-CoA?,0.30,Glycolysis,Beta-oxidation
